comunidad,sexo,año,total
pais vasco,mujeres,2012,1122655
la rioja,mujeres,2012,162035
andalucia,hombres,2012,4180285
valencia,hombres,2012,2546404
madrid,hombres,2012,3130241
galicia,mujeres,2012,1438170
la rioja,hombres,2012,161574
valencia,mujeres,2012,2582862
galicia,hombres,2012,1343328
region de murcia,hombres,2012,742727
navarra,hombres,2012,321453
cataluña,hombres,2012,3741628
castilla y leon,hombres,2012,1261141
asturias,mujeres,2012,560940
canarias,hombres,2012,1056240
baleares,mujeres,2012,559348
cantabria,mujeres,2012,303862
melilla,hombres,2012,41569
baleares,hombres,2012,560091
aragon,mujeres,2012,677569
melilla,mujeres,2012,39233
ceuta,mujeres,2012,41070
cantabria,hombres,2012,289999
asturias,hombres,2012,516420
aragon,hombres,2012,671898
andalucia,mujeres,2012,4269700
canarias,mujeres,2012,1062104
castilla y leon,mujeres,2012,1284937
andalucia,mujeres,2013,4269646
melilla,hombres,2013,43017
madrid,hombres,2013,3123724
baleares,hombres,2013,554603
valencia,mujeres,2013,2579276
la rioja,hombres,2013,160159
cataluña,mujeres,2013,3828332
galicia,hombres,2013,1335122
cantabria,mujeres,2013,303245
baleares,mujeres,2013,557071
canarias,hombres,2013,1055302
extremadura,mujeres,2013,555950
valencia,hombres,2013,2534539
extremadura,hombres,2013,548054
la rioja,mujeres,2013,161868
ceuta,mujeres,2013,41120
cantabria,hombres,2013,288643
canarias,mujeres,2013,1063377
galicia,mujeres,2013,1430818
asturias,mujeres,2013,556819
madrid,mujeres,2013,3371827
castilla y leon,hombres,2013,1246377
pais vasco,mujeres,2013,1122936
andalucia,hombres,2013,4170654
cataluña,hombres,2013,3725318
aragon,mujeres,2013,677163
navarra,hombres,2013,320933
castilla y leon,mujeres,2013,1273498
navarra,mujeres,2013,323544
castilla la mancha,hombres,2013,1056960
asturias,hombres,2013,511346
region de murcia,mujeres,2013,732207
melilla,mujeres,2013,40662
pais vasco,hombres,2013,1068746
aragon,hombres,2013,669987
region de murcia,hombres,2013,739842
ceuta,hombres,2013,43060
castilla la mancha,mujeres,2013,1044038
la rioja,mujeres,2014,160912
extremadura,mujeres,2014,554016
asturias,mujeres,2014,553829
extremadura,hombres,2014,545616
andalucia,hombres,2014,4148701
pais vasco,hombres,2014,1066369
aragon,hombres,2014,656964
canarias,mujeres,2014,1058442
navarra,mujeres,2014,322304
navarra,hombres,2014,318486
canarias,hombres,2014,1046373
pais vasco,mujeres,2014,1122616
galicia,mujeres,2014,1423038
baleares,mujeres,2014,553641
melilla,mujeres,2014,41434
