"Año","Mes","Pareja - Expareja","Convivencia","Denuncia agresor","Suicidio","Tramo de edad Agresor","Tramo de edad Víctima","País de nacimiento Agresor","País de nacimiento Víctima","Almería","Cádiz","Córdoba","Granada","Huelva","Jaén","Málaga","Sevilla","Huesca","Teruel","Zaragoza","Asturias","Illes Balears","Las Palmas","Santa Cruz de Tenerife","Cantabria","Ávila","Burgos","León","Palencia","Salamanca","Segovia","Soria","Valladolid","Zamora","Albacete","Ciudad Real","Cuenca","Guadalajara","Toledo","Barcelona","Girona","Lleida","Tarragona","Alicante/Alacant","Castellón/Castelló","Valencia/València","Badajoz","Cáceres","A Coruña","Lugo","Ourense","Pontevedra","Madrid","Murcia","Navarra","Araba/Álava","Bizkaia","Gipuzkoa","La Rioja","Ceuta","Melilla"
"Año 2003","Noviembre","Pareja","Sí","No consta denuncia","No hubo tentativa","41-50 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Noviembre","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","31-40 años","España","España","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Noviembre","Pareja","Sí","No consta denuncia","Suicidio consumado","41-50 años","31-40 años","España","España","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Noviembre","Pareja","Sí","No consta denuncia","Suicidio consumado","51-60 años","41-50 años","España","España","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Noviembre","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","No consta","31-40 años","España","España","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Noviembre","Pareja en fase de separación","Sí","No consta denuncia","Suicidio consumado","51-60 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2003","Diciembre","Expareja","No","No consta denuncia","No hubo tentativa","41-50 años","31-40 años","España","España","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2003","Diciembre","Pareja","Sí","No consta denuncia","No hubo tentativa","41-50 años","21-30 años","Otro país","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2003","Diciembre","Pareja","Sí","No consta denuncia","No hubo tentativa","41-50 años","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2004","Enero","Expareja","No","No consta denuncia","No hubo tentativa","41-50 años","31-40 años","España","España","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Enero","Pareja","Sí","No consta denuncia","No hubo tentativa","71-84 años","71-84 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","",""
"Año 2004","Febrero","Pareja","Sí","No consta denuncia","No hubo tentativa","21-30 años","31-40 años","No consta","España","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Febrero","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","71-84 años","España","España","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Febrero","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","31-40 años","21-30 años","Otro país","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2004","Febrero","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","31-40 años","31-40 años","No consta","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","",""
"Año 2004","Febrero","Pareja en fase de separación","Sí","No consta denuncia","Tentativa no consumada","21-30 años","21-30 años","España","España","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Marzo","Expareja","No","No consta denuncia","No hubo tentativa","31-40 años","31-40 años","España","España","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Marzo","Pareja","Sí","No consta denuncia","No hubo tentativa","31-40 años","21-30 años","Otro país","Otro país","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Marzo","Pareja","Sí","No consta denuncia","No hubo tentativa","31-40 años","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Marzo","Pareja","Sí","No consta denuncia","Suicidio consumado","61-70 años","51-60 años","España","España","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Marzo","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","21-30 años","21-30 años","España","España","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Marzo","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","No consta","41-50 años","España","España","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Abril","Expareja","No","No consta denuncia","No hubo tentativa","41-50 años","No consta","España","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2004","Abril","Pareja","Sí","No consta denuncia","No hubo tentativa","31-40 años","21-30 años","Otro país","Otro país","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Abril","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","51-60 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2004","Abril","Pareja","Sí","No consta denuncia","Suicidio consumado","71-84 años","71-84 años","España","España","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Abril","Pareja","Sí","No consta denuncia","Tentativa no consumada","No consta","No consta","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Abril","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","41-50 años","41-50 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2004","Mayo","Expareja","No","No consta denuncia","No hubo tentativa","21-30 años","18-20 años","España","España","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Mayo","Pareja","Sí","No consta denuncia","No hubo tentativa","51-60 años","51-60 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2004","Mayo","Pareja","Sí","No consta denuncia","No hubo tentativa","71-84 años","71-84 años","España","España","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Mayo","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","21-30 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Mayo","Pareja","Sí","No consta denuncia","Tentativa no consumada","61-70 años","51-60 años","España","España","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Mayo","Pareja","No","No consta denuncia","Suicidio consumado","18-20 años","<16 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","",""
"Año 2004","Mayo","Pareja","No","No consta denuncia","Suicidio consumado","21-30 años","18-20 años","España","España","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Mayo","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","No consta","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Junio","Expareja","No","No consta denuncia","No hubo tentativa","21-30 años","18-20 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2004","Junio","Expareja","No","No consta denuncia","Suicidio consumado","61-70 años","51-60 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"Año 2004","Junio","Pareja","Sí","No consta denuncia","No hubo tentativa","61-70 años","51-60 años","España","España","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Junio","Pareja","Sí","No consta denuncia","No hubo tentativa","61-70 años","61-70 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2004","Junio","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","61-70 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","",""
"Año 2004","Junio","Pareja","Sí","No consta denuncia","Suicidio consumado","No consta","41-50 años","Otro país","Otro país","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Julio","Expareja","No","No consta denuncia","No hubo tentativa","41-50 años","31-40 años","España","España","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Julio","Expareja","No","No consta denuncia","Tentativa no consumada","41-50 años","41-50 años","No consta","No consta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Julio","Pareja","Sí","No consta denuncia","No hubo tentativa","31-40 años","31-40 años","No consta","Otro país","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Julio","Pareja","Sí","No consta denuncia","No hubo tentativa","No consta","31-40 años","España","España","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Julio","Pareja","No","No consta denuncia","No hubo tentativa","18-20 años","<16 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","",""
"Año 2004","Julio","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","31-40 años","31-40 años","Otro país","Otro país","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","",""
"Año 2004","Julio","Pareja en fase de separación","Sí","No consta denuncia","No hubo tentativa","71-84 años","61-70 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","",""
"Año 2004","Agosto","Expareja","No","No consta denuncia","No hubo tentativa","41-50 años","31-40 años","España","España","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Año 2004","Agosto","Expareja","No","No consta denuncia","Tentativa no consumada","No consta","41-50 años","España","España","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
