año,trimestre,provincia,total_llamadas,total_denuncias,total_victimas_mortales
2009,tercero,barcelona,1925,3147.0,3
2009,tercero,burgos,98,202.0,0
2009,tercero,caceres,142,156.0,0
2009,tercero,cadiz,354,1098.0,0
2009,tercero,cantabria,221,326.0,0
2009,tercero,castellon,195,484.0,0
2009,tercero,ciudad real,135,296.0,0
2009,tercero,cordoba,237,433.0,0
2009,tercero,coruña,374,637.0,2
2009,tercero,cuenca,69,211.0,1
2009,tercero,gerona,156,575.0,0
2009,tercero,granada,347,1055.0,0
2009,tercero,guadalajara,90,245.0,0
2009,tercero,guipuzcoa,128,263.0,0
2009,tercero,huelva,150,501.0,0
2009,tercero,huesca,42,101.0,0
2009,tercero,islas baleares,413,1203.0,0
2009,tercero,jaen,165,451.0,0
2009,tercero,las palmas,611,1309.0,0
2009,tercero,leon,163,142.0,0
2009,tercero,lerida,77,299.0,0
2009,tercero,lugo,136,170.0,0
2009,tercero,madrid,4216,5013.0,0
2009,tercero,malaga,603,1347.0,2
2009,tercero,melilla,31,98.0,0
2009,tercero,murcia,534,1574.0,2
2009,tercero,navarra,177,383.0,0
2009,tercero,orense,82,127.0,1
2009,tercero,palencia,38,64.0,0
2009,tercero,pontevedra,266,659.0,0
2009,tercero,rioja,77,239.0,0
2009,tercero,salamanca,130,150.0,0
2009,tercero,santa cruz de tenerife,518,972.0,1
2009,tercero,segovia,47,77.0,0
2009,tercero,sevilla,761,1704.0,1
2009,tercero,soria,13,38.0,0
2009,tercero,tarragona,238,707.0,0
2009,tercero,teruel,25,37.0,0
2009,tercero,toledo,303,441.0,1
2009,tercero,valencia,1006,2546.0,1
2009,tercero,valladolid,199,268.0,0
2009,tercero,vizcaya,275,558.0,0
2009,tercero,zamora,78,73.0,0
2009,tercero,zaragoza,285,682.0,0
2010,cuarto,alava,55,189.0,0
2010,cuarto,albacete,86,251.0,0
2010,cuarto,alicante,659,1665.0,2
2010,cuarto,almeria,206,654.0,1
2010,cuarto,asturias,371,506.0,0
2010,cuarto,avila,59,109.0,0
2010,cuarto,badajoz,229,222.0,1
2010,cuarto,barcelona,1688,2975.0,2
2010,cuarto,burgos,98,147.0,0
2010,cuarto,caceres,150,141.0,0
2010,cuarto,cadiz,350,994.0,0
2010,cuarto,cantabria,231,265.0,0
2010,cuarto,castellon,170,428.0,0
2010,cuarto,ciudad real,163,245.0,1
2010,cuarto,cordoba,219,224.0,0
2010,cuarto,coruña,389,476.0,0
2010,cuarto,cuenca,81,171.0,0
2010,cuarto,gerona,146,493.0,0
2010,cuarto,granada,395,902.0,1
2010,cuarto,guadalajara,99,402.0,0
2010,cuarto,guipuzcoa,137,234.0,0
2010,cuarto,huelva,166,403.0,0
2010,cuarto,huesca,42,69.0,0
2010,cuarto,islas baleares,340,902.0,1
2010,cuarto,jaen,157,366.0,0
2010,cuarto,las palmas,564,1131.0,0
2010,cuarto,leon,184,180.0,0
2010,cuarto,lerida,79,209.0,0
2010,cuarto,lugo,68,108.0,0
2010,cuarto,madrid,4021,4926.0,4
2010,cuarto,malaga,563,1324.0,2
2010,cuarto,melilla,34,84.0,0
2010,cuarto,murcia,427,1224.0,0
2010,cuarto,navarra,225,347.0,0
2010,cuarto,orense,69,145.0,0
2010,cuarto,palencia,45,84.0,0
2010,cuarto,pontevedra,222,401.0,0
2010,cuarto,rioja,102,176.0,0
2010,cuarto,salamanca,131,109.0,0
2010,cuarto,santa cruz de tenerife,509,918.0,1
2010,cuarto,segovia,42,53.0,0
2010,cuarto,sevilla,777,1809.0,1
2010,cuarto,soria,23,39.0,0
2010,cuarto,tarragona,203,696.0,1
2010,cuarto,teruel,14,29.0,0
2010,cuarto,toledo,256,354.0,0
2010,cuarto,valencia,886,2485.0,1
2010,cuarto,valladolid,228,267.0,0
2010,cuarto,vizcaya,325,434.0,1
2010,cuarto,zamora,72,73.0,0
