año,provincia,total_llamadas,tasa_por_1000,mujeres_por_llamada
2009,alava,230,1.4612359514869664,684.3521739130434
2009,albacete,374,1.8725372880252742,534.0347593582887
2009,alicante,2647,2.7607080428697177,362.2259161314696
2009,almeria,834,2.5118136559538113,398.1187050359713
2009,asturias,1418,2.5125227464814937,398.00634696756
2009,avila,204,2.401129943502825,416.4705882352941
2009,badajoz,915,2.637913885805717,379.08743169398906
2009,barcelona,7261,2.6073704448222097,383.5281641647156
2009,burgos,442,2.3854240873863954,419.2126696832579
2009,caceres,502,2.413519555758552,414.3326693227092
2009,cadiz,1397,2.25101110198031,444.2448103078024
2009,cantabria,841,2.7986688851913475,357.31272294887043
2009,castellon,713,2.385884132364702,419.1318373071529
2009,ciudad real,584,2.210153840331523,452.4571917808219
2009,cordoba,862,2.108749844045473,474.2146171693735
2009,coruña,1433,2.4098330606225207,414.9665038381019
2009,cuenca,279,2.605504244450463,383.80286738351253
2009,cuenca,279,7.236227824463119,138.19354838709677
2009,gerona,605,1.643338503285319,608.5173553719009
2009,granada,1265,2.758130489006724,362.56442687747034
2009,guadalajara,304,2.5430179935253423,393.23355263157896
2009,guipuzcoa,443,1.2344027775455726,810.1083521444696
2009,huelva,565,2.1877262747861645,457.0955752212389
2009,huesca,202,1.8071372977035043,553.3613861386139
2009,islas baleares,1459,2.6802756330061523,373.09595613433856
2009,jaen,702,2.081449305442308,480.4344729344729
2009,las palmas,2431,4.522689725996814,221.1073632250103
2009,leon,640,2.5053532352330956,399.1453125
2009,lerida,327,1.5330017299010346,652.3149847094802
2009,lugo,368,2.0191822311963654,495.25
2009,madrid,16438,4.993229159389051,200.27120087601898
2009,malaga,2262,2.804103263396039,356.62024756852344
2009,melilla,154,4.252264192622046,235.16883116883116
2009,murcia,2069,2.8940665341559995,345.53455775737075
2009,navarra,776,2.4627727774745156,406.0463917525773
2009,orense,300,1.7222770799366203,580.6266666666667
2009,palencia,151,1.7285589999542104,578.5165562913907
2009,pontevedra,995,2.008482051841041,497.8884422110553
2009,rioja,321,2.0121733352556586,496.97507788162
2009,salamanca,459,2.5345673013208465,394.54466230936816
2009,santa cruz de tenerife,2162,4.207502666178841,237.67067530064753
2009,segovia,178,2.191632396759339,456.2808988764045
2009,sevilla,2955,3.0549487585329214,327.3377326565144
2009,soria,80,1.7088539997863932,585.1875
2009,tarragona,925,2.339420885843848,427.45621621621626
2009,teruel,86,1.2109606015376384,825.7906976744187
2009,toledo,984,2.9021668922924464,344.5701219512195
2009,valencia,3718,2.8619284995119787,349.4147391070468
2009,valladolid,844,3.116806381328705,320.84123222748815
2009,vizcaya,1060,1.7860633142595252,559.8905660377359
2009,zamora,251,2.5476801900102517,392.51394422310756
2009,zaragoza,1126,2.3033320582501635,434.1536412078152
2010,alava,240,1.5091492171288436,662.625
2010,albacete,385,1.9222511808114398,520.2233766233766
2010,alicante,2595,2.6903681709228744,371.69633911368015
2010,almeria,821,2.4329674497996727,411.02070645554204
2010,asturias,1346,2.386782967661396,418.9739970282318
2010,avila,237,2.7827352996430585,359.3586497890295
2010,badajoz,936,2.6836862839546525,372.62179487179486
2010,barcelona,6789,2.4239130861672717,412.556046545883
2010,burgos,422,2.276503463306217,439.27014218009475
2010,caceres,550,2.635046113306983,379.5
2010,cadiz,1349,2.162184688078012,462.49518161601185
2010,cantabria,811,2.682596859608559,372.77311960542545
2010,castellon,649,2.157694558221182,463.4576271186441
2010,ciudad real,597,2.2498162838461684,444.4807370184255
2010,cordoba,882,2.1536463038838884,464.3287981859411
2010,coruña,1422,2.3893537655005543,418.5232067510549
2010,cuenca,255,2.37580591063243,420.90980392156865
2010,cuenca,255,6.486899007886034,154.15686274509804
2010,gerona,608,1.633210036720364,612.2911184210526
2010,granada,1447,3.116264445296314,320.8970283344851
2010,guadalajara,397,3.2436495551216167,308.2947103274559
2010,guipuzcoa,462,1.2824925881921851,779.7316017316017
2010,huelva,556,2.135463675993317,468.28237410071944
2010,huesca,186,1.6600917513075453,602.3763440860215
2010,islas baleares,1524,2.76665849739945,361.44685039370074
2010,jaen,686,2.030420794350339,492.50874635568516
2010,las palmas,2252,4.155702280469306,240.63321492007105
2010,leon,635,2.48936628966815,401.70866141732284
2010,lerida,291,1.3511568409860193,740.1065292096221
2010,lugo,339,1.8675525145850893,535.4601769911504
2010,madrid,15805,4.740202132656079,210.96146788990828
2010,malaga,2398,2.9387903164530593,340.2760633861551
2010,melilla,132,3.54695687222894,281.9318181818182
2010,murcia,1955,2.7026952299848483,370.0010230179028
2010,navarra,876,2.750383829250144,363.58561643835617
2010,orense,302,1.7368999212068579,575.7384105960265
2010,palencia,184,2.115745052721147,472.6467391304348
2010,pontevedra,1037,2.088317504812998,478.85438765670204
2010,rioja,367,2.286162797216737,437.4141689373297
2010,salamanca,512,2.8336607908791542,352.900390625
2010,santa cruz de tenerife,2028,3.915760937774543,255.3782051282051
2010,segovia,168,2.0680995642218774,483.53571428571433
2010,sevilla,3205,3.281521807017849,304.73666146645866
2010,soria,76,1.6219215502155448,616.5526315789473
2010,tarragona,893,2.23597134551391,447.23292273236285
2010,teruel,97,1.3717227140311679,729.0103092783505
2010,toledo,996,2.896544503835886,345.23895582329317
2010,valencia,3673,2.817969021521059,354.8655050367547
2010,valladolid,863,3.1786489084674345,314.59907300115873
2010,vizcaya,1075,1.8086529321208349,552.8976744186047
2010,zamora,310,3.170155542147729,315.44193548387096
2010,zaragoza,1075,2.188687235576042,456.89488372093024
2011,alava,270,1.685540559100046,593.2814814814815
