año,trimestre,provincia,comunidad,numero_ordenes_proteccion
2009,cuarto,zaragoza,aragon,118
2009,cuarto,asturias,asturias,201
2009,cuarto,islas baleares,islas baleares,260
2009,cuarto,las palmas,canarias,453
2009,cuarto,santa cruz de tenerife,canarias,362
2009,cuarto,cantabria,cantabria,90
2009,cuarto,avila,castilla y leon,17
2009,cuarto,burgos,castilla y leon,41
2009,cuarto,leon,castilla y leon,78
2009,cuarto,palencia,castilla y leon,18
2009,cuarto,salamanca,castilla y leon,41
2009,cuarto,segovia,castilla y leon,15
2009,cuarto,soria,castilla y leon,6
2009,cuarto,valladolid,castilla y leon,106
2009,cuarto,zamora,castilla y leon,15
2009,cuarto,albacete,castilla la mancha,74
2009,cuarto,ciudad real,castilla la mancha,99
2009,cuarto,cuenca,castilla la mancha,41
2009,cuarto,guadalajara,castilla la mancha,80
2009,cuarto,toledo,castilla la mancha,194
2009,cuarto,barcelona,cataluña,1013
2009,cuarto,gerona,cataluña,228
2009,cuarto,lerida,cataluña,67
2009,cuarto,tarragona,cataluña,201
2009,cuarto,alicante,comunidad valenciana,528
2009,cuarto,castellon,comunidad valenciana,124
2009,cuarto,valencia,comunidad valenciana,411
2009,cuarto,badajoz,extremadura,117
2009,cuarto,caceres,extremadura,48
2009,cuarto,coruña,galicia,103
2009,cuarto,lugo,galicia,40
2009,cuarto,orense,galicia,40
2009,cuarto,pontevedra,galicia,131
2009,cuarto,madrid,madrid,1531
2009,cuarto,murcia,murcia,462
2009,cuarto,navarra,navarra,79
2009,cuarto,alava,pais vasco,20
2009,cuarto,guipuzcoa,pais vasco,73
2009,cuarto,vizcaya,pais vasco,138
2009,cuarto,rioja,la rioja,58
2009,cuarto,cuenca,castilla la mancha,11
2009,cuarto,melilla,melilla,3
2010,primero,almeria,andalucia,99
2010,primero,cadiz,andalucia,247
2010,primero,cordoba,andalucia,87
2010,primero,granada,andalucia,116
2010,primero,huelva,andalucia,131
2010,primero,jaen,andalucia,100
2010,primero,malaga,andalucia,217
2010,primero,sevilla,andalucia,408
2010,primero,huesca,aragon,20
2010,primero,teruel,aragon,19
2010,primero,zaragoza,aragon,115
2010,primero,asturias,asturias,199
2010,primero,islas baleares,islas baleares,266
2010,primero,las palmas,canarias,475
2010,primero,santa cruz de tenerife,canarias,304
2010,primero,cantabria,cantabria,84
2010,primero,avila,castilla y leon,36
2010,primero,burgos,castilla y leon,57
2010,primero,leon,castilla y leon,97
2010,primero,palencia,castilla y leon,27
2010,primero,salamanca,castilla y leon,34
2010,primero,segovia,castilla y leon,16
2010,primero,soria,castilla y leon,20
2010,primero,valladolid,castilla y leon,112
2010,primero,zamora,castilla y leon,20
2010,primero,albacete,castilla la mancha,81
2010,primero,ciudad real,castilla la mancha,130
2010,primero,cuenca,castilla la mancha,40
2010,primero,guadalajara,castilla la mancha,66
2010,primero,toledo,castilla la mancha,236
2010,primero,barcelona,cataluña,1063
2010,primero,gerona,cataluña,188
