año,trimestre,llamante,almeria,cadiz,cordoba,granada,huelva,jaen,malaga,sevilla,huesca,teruel,zaragoza,asturias,illes balears,las palmas,santa cruz de tenerife,cantabria,avila,burgos,leon,palencia,salamanca,segovia,soria,valladolid,zamora,albacete,ciudad real,cuenca,guadalajara,toledo,barcelona,girona,lleida,tarragona,alicante/alacant,castellon/castello,valencia/valencia,badajoz,caceres,a coruna,lugo,ourense,pontevedra,madrid,murcia,navarra,araba/alava,bizkaia,gipuzkoa,la rioja,ceuta,melilla,no consta
2008,segundo,desconocido,8.0,7.0,2.0,7.0,10.0,3.0,12.0,23.0,1.0,1.0,5.0,9.0,15.0,11.0,12.0,7.0,1.0,6.0,17.0,2.0,4.0,0.0,0.0,5.0,0.0,4.0,1.0,6.0,5.0,6.0,45.0,2.0,0.0,6.0,32.0,4.0,24.0,4.0,7.0,8.0,0.0,3.0,6.0,113.0,11.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,0.0
2008,tercero,usuaria,191.0,372.0,220.0,312.0,159.0,185.0,533.0,665.0,29.0,21.0,228.0,285.0,438.0,444.0,369.0,183.0,68.0,64.0,111.0,29.0,60.0,51.0,19.0,164.0,42.0,61.0,114.0,58.0,71.0,239.0,1627.0,164.0,72.0,242.0,631.0,172.0,836.0,241.0,118.0,280.0,99.0,53.0,223.0,3677.0,596.0,137.0,51.0,222.0,77.0,75.0,29.0,33.0,0.0
2008,tercero,familiar,58.0,94.0,36.0,80.0,28.0,25.0,144.0,177.0,10.0,4.0,47.0,62.0,102.0,132.0,98.0,35.0,13.0,15.0,34.0,15.0,30.0,16.0,6.0,41.0,18.0,8.0,31.0,10.0,16.0,51.0,352.0,45.0,13.0,58.0,124.0,46.0,230.0,36.0,40.0,87.0,11.0,9.0,69.0,959.0,116.0,33.0,16.0,38.0,24.0,26.0,5.0,8.0,0.0
2008,tercero,desconocido,5.0,18.0,14.0,14.0,1.0,4.0,12.0,28.0,6.0,0.0,6.0,12.0,14.0,7.0,9.0,5.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,9.0,2.0,5.0,7.0,57.0,3.0,1.0,15.0,29.0,5.0,43.0,9.0,4.0,12.0,1.0,4.0,7.0,124.0,25.0,3.0,0.0,11.0,4.0,1.0,0.0,1.0,0.0
2008,cuarto,usuaria,177.0,264.0,150.0,266.0,109.0,115.0,423.0,640.0,36.0,24.0,209.0,234.0,340.0,471.0,384.0,160.0,45.0,63.0,125.0,27.0,74.0,40.0,19.0,141.0,22.0,79.0,97.0,40.0,59.0,178.0,1459.0,150.0,53.0,200.0,475.0,106.0,773.0,151.0,97.0,294.0,80.0,52.0,189.0,3132.0,395.0,125.0,66.0,165.0,84.0,83.0,27.0,37.0,0.0
2008,cuarto,familiar,41.0,60.0,38.0,69.0,32.0,38.0,146.0,172.0,10.0,5.0,66.0,71.0,84.0,110.0,83.0,51.0,13.0,28.0,37.0,7.0,28.0,8.0,3.0,38.0,9.0,20.0,23.0,6.0,20.0,38.0,341.0,30.0,11.0,50.0,99.0,27.0,173.0,45.0,34.0,61.0,16.0,16.0,48.0,937.0,119.0,40.0,20.0,65.0,27.0,18.0,16.0,9.0,0.0
2008,cuarto,desconocido,8.0,7.0,7.0,16.0,4.0,1.0,22.0,19.0,4.0,6.0,12.0,7.0,14.0,19.0,13.0,10.0,3.0,0.0,7.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,5.0,55.0,2.0,4.0,4.0,31.0,2.0,29.0,4.0,2.0,9.0,1.0,2.0,3.0,93.0,20.0,5.0,2.0,8.0,2.0,3.0,0.0,2.0,0.0
2009,primero,usuaria,185.0,275.0,135.0,222.0,99.0,126.0,433.0,574.0,42.0,11.0,227.0,298.0,292.0,426.0,401.0,201.0,41.0,104.0,119.0,36.0,88.0,26.0,12.0,162.0,50.0,77.0,134.0,49.0,47.0,178.0,1439.0,124.0,68.0,178.0,467.0,130.0,736.0,182.0,114.0,288.0,78.0,48.0,202.0,3087.0,417.0,140.0,42.0,187.0,89.0,79.0,25.0,37.0,0.0
2009,primero,familiar,45.0,75.0,28.0,52.0,27.0,57.0,93.0,141.0,15.0,5.0,59.0,65.0,70.0,107.0,90.0,36.0,8.0,19.0,31.0,8.0,20.0,2.0,3.0,48.0,19.0,15.0,25.0,7.0,10.0,47.0,333.0,18.0,16.0,41.0,108.0,24.0,129.0,38.0,16.0,76.0,30.0,18.0,74.0,882.0,116.0,46.0,11.0,67.0,31.0,26.0,3.0,17.0,0.0
2009,primero,desconocido,4.0,6.0,7.0,9.0,8.0,5.0,17.0,31.0,0.0,0.0,11.0,5.0,15.0,12.0,12.0,3.0,1.0,1.0,5.0,2.0,7.0,3.0,0.0,3.0,1.0,3.0,5.0,3.0,1.0,9.0,52.0,2.0,0.0,4.0,17.0,3.0,22.0,11.0,5.0,2.0,1.0,1.0,1.0,114.0,17.0,8.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0
